|          x           |          y           |  zx   |  nx   |  zy   |  ny   |   f   |  no   |         out          |  zr   |  ng   |
|   0000000000000001   |   0000000000000001   |   0   |   0   |   0   |   0   |   1   |   0   |   0000000000000010   |   0   |   0   |
|   0000000000000001   |   0000000000000001   |   0   |   0   |   0   |   0   |   0   |   0   |   0000000000000001   |   0   |   0   |
|   0000000000000011   |   0000000000000011   |   0   |   0   |   0   |   0   |   1   |   0   |   0000000000000110   |   0   |   0   |
|   0000000000000011   |   0000000000000011   |   0   |   0   |   0   |   0   |   0   |   0   |   0000000000000011   |   0   |   0   |
|   0000000000000001   |   0000000000000001   |   1   |   0   |   0   |   0   |   1   |   0   |   0000000000000001   |   0   |   0   |
|   0000000000000001   |   0000000000000001   |   1   |   0   |   0   |   0   |   0   |   0   |   0000000000000000   |   1   |   0   |
|   0000000000000001   |   0000000000000001   |   0   |   1   |   0   |   0   |   1   |   0   |   1111111111111111   |   0   |   1   |
|   0000000000000001   |   0000000000000001   |   0   |   1   |   0   |   0   |   0   |   0   |   0000000000000000   |   1   |   0   |
|   0000000000000001   |   0000000000000001   |   0   |   0   |   1   |   0   |   1   |   0   |   0000000000000001   |   0   |   0   |
|   0000000000000001   |   0000000000000001   |   0   |   0   |   0   |   1   |   1   |   0   |   1111111111111111   |   0   |   1   |
|   0000000000000001   |   0000000000000001   |   0   |   0   |   1   |   0   |   0   |   0   |   0000000000000000   |   1   |   0   |
|   0000000000000001   |   0000000000000001   |   0   |   0   |   0   |   1   |   0   |   0   |   0000000000000000   |   1   |   0   |
