|          a           |          b           |         out          |
|   0000000000000000   |   0000000000000000   |   0000000000000000   |
|   0000000000000000   |   0000000000000000   |   0000000000000000   |
|   1111111111111111   |   0000000000000000   |   1111111111111111   |
|   1111111111111111   |   0000000000000000   |   1111111111111111   |
|   0000000000000000   |   1111111111111111   |   1111111111111111   |
|   0000000000000000   |   1111111111111111   |   1111111111111111   |
|   1111111111111111   |   1111111111111111   |   1111111111111110   |
|   1111111111111111   |   1111111111111111   |   1111111111111110   |
|   0000000111111111   |   1111111111111111   |   0000000111111110   |
|   0000000111111111   |   1111111111111111   |   0000000111111110   |
|   1111111111111111   |   0000000111111111   |   0000000111111110   |
|   1111111111111111   |   0000000111111111   |   0000000111111110   |
|   0000000000000011   |   0000000000000100   |   0000000000000111   |
|   0000000000000011   |   0000000000000101   |   0000000000001000   |
